"SB"	"OPS"	"tSho"	"WS"
108	0.703	12	0
121	0.752	13	0
132	0.725	5	0
49	0.76	8	0
76	0.746	11	0
28	0.667	5	0
63	0.666	10	0
94	0.688	10	0
148	0.697	10	0
102	0.81	13	0
164	0.704	13	0
124	0.737	11	0
130	0.689	11	0
201	0.827	4	0
85	0.736	13	0
165	0.742	12	0
84	0.663	8	0
58	0.758	7	0
146	0.77	8	0
77	0.771	16	1
79	0.688	6	0
86	0.678	4	0
125	0.689	9	0
248	0.718	7	1
55	0.726	9	0
125	0.656	13	0
77	0.726	12	0
116	0.772	6	0
80	0.731	13	0
114	0.722	6	0
235	0.708	12	0
86	0.754	10	0
81	0.727	7	0
57	0.723	7	0
96	0.709	7	0
81	0.762	12	0
88	0.739	9	0
134	0.727	8	0
51	0.719	13	0
99	0.714	9	0
144	0.746	9	0
65	0.677	13	0
135	0.742	4	0
66	0.731	13	0
59	0.7	7	0
23	0.72	11	0
160	0.669	6	0
158	0.664	9	0
101	0.776	10	0
153	0.738	11	0
174	0.763	10	0
53	0.763	10	0
108	0.69	7	0
94	0.738	8	0
56	0.756	8	0
166	0.724	12	1
27	0.653	15	1
61	0.761	15	1
106	0.75	11	0
56	0.754	9	0
79	0.717	8	0
158	0.696	12	0
101	0.794	4	0
91	0.744	6	0
100	0.727	1	0
60	0.673	6	0
117	0.728	9	0
93	0.788	16	1
65	0.742	6	0
90	0.747	4	0
88	0.707	7	0
102	0.751	16	0
68	0.762	13	0
116	0.664	7	0
123	0.757	8	1
124	0.723	14	0
149	0.743	19	1
89	0.669	13	0
202	0.679	5	0
116	0.732	10	0
108	0.757	10	0
140	0.701	9	0
85	0.708	6	0
157	0.712	20	1
216	0.728	14	0
123	0.681	15	0
77	0.777	4	0
63	0.77	10	0
136	0.688	11	0
73	0.726	12	0
69	0.722	12	0
200	0.697	10	1
85	0.645	12	0
49	0.695	14	0
103	0.774	11	0
56	0.699	12	1
103	0.759	8	0
74	0.675	13	0
146	0.78	12	0
109	0.734	12	0
71	0.695	15	0
68	0.634	10	0
127	0.729	11	0
98	0.695	3	0
116	0.737	14	0
110	0.712	3	0
81	0.728	13	0
102	0.704	3	0
60	0.8	11	0
100	0.656	14	0
93	0.742	5	0
97	0.657	11	0
94	0.772	8	0
32	0.681	14	0
66	0.767	5	0
91	0.634	10	0
45	0.708	9	0
133	0.765	12	0
133	0.73	2	0
90	0.705	7	0
137	0.712	12	0
78	0.626	7	0
151	0.741	4	0
106	0.677	10	0
194	0.782	5	0
66	0.743	6	0
119	0.652	13	0
83	0.81	5	0
138	0.762	12	0
126	0.581	8	0
97	0.661	13	0
105	0.745	4	0
64	0.741	6	0
123	0.829	5	0
162	0.691	13	0
131	0.674	10	0
100	0.707	12	0
54	0.677	10	0
72	0.619	11	0
44	0.72	5	0
155	0.684	18	0
100	0.651	10	0
176	0.752	8	0
58	0.676	6	0
105	0.689	6	0
76	0.747	3	0
67	0.798	12	0
75	0.688	4	0
126	0.703	24	1
67	0.72	3	0
141	0.751	8	0
138	0.727	5	0
177	0.712	8	0
72	0.679	11	0
108	0.7	18	0
98	0.823	9	1
110	0.693	1	0
94	0.7	5	0
35	0.767	10	0
134	0.759	11	1
93	0.746	9	0
143	0.724	7	0
108	0.782	5	0
96	0.806	13	1
115	0.707	9	0
89	0.696	20	0
95	0.768	11	0
116	0.796	13	1
57	0.643	7	0
103	0.756	16	0
87	0.717	10	0
142	0.708	15	0
129	0.743	9	0
52	0.756	8	0
58	0.769	8	0
75	0.787	7	0
76	0.721	10	0
79	0.733	16	0
70	0.801	5	0
59	0.769	9	1
66	0.769	18	0
95	0.757	10	0
131	0.735	4	0
46	0.773	9	0
49	0.776	12	0
128	0.751	12	0
69	0.74	6	0
119	0.677	13	0
78	0.733	9	0
123	0.7	4	0
104	0.734	8	1
106	0.758	7	0
80	0.7	12	0
92	0.666	8	0
53	0.783	8	1
50	0.778	5	0
57	0.682	3	0
63	0.667	5	0
166	0.697	12	0
66	0.75	2	0
91	0.71	6	0
73	0.731	3	0
82	0.804	10	0
75	0.774	11	1
82	0.633	23	0
72	0.738	8	0
144	0.757	9	0
81	0.706	14	0
67	0.78	10	0
92	0.707	7	0
135	0.724	5	0
68	0.824	7	0
138	0.734	12	0
86	0.7	13	0
163	0.716	15	1
103	0.739	14	0
134	0.764	16	0
98	0.795	23	0
124	0.723	11	0
110	0.734	5	0
71	0.782	5	0
88	0.71	13	0
129	0.743	10	0
109	0.74	11	0
196	0.682	14	0
114	0.738	10	0
132	0.837	8	0
52	0.745	9	0
81	0.714	3	0
102	0.774	6	0
102	0.755	6	0
94	0.757	12	0
69	0.672	10	0
